fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
22.0,480.0,11.0,3.75,12.0,4,13,0
11.0,362.0,35.0,4.375,1293.0,2,13,12
64.0,776.0,48.0,4.375,702.0,6,9,12
28.0,337.0,8.0,5.0,302.0,3,8,0
76.0,1005.0,56.0,0.0,536.0,12,13,4
9.0,215.0,8.0,4.375,281.0,4,13,0
16.0,564.0,60.0,3.75,910.0,3,17,12
17.0,186.0,2.0,4.375,368.0,1,7,0
7.0,245.0,4.0,3.75,237.0,3,13,0
148.0,1855.0,83.0,3.75,1822.0,6,15,5
23.0,341.0,9.0,4.375,109.0,4,10,0
15.0,253.0,7.0,4.375,235.0,2,8,0
10.0,178.0,1.0,4.375,132.0,6,13,0
22.0,201.0,0.0,5.0,167.0,2,5,0
10.0,103.0,3.0,3.75,32.0,4,2,0
23.0,203.0,0.0,5.0,3.0,2,1,0
13.0,426.0,10.0,3.75,399.0,1,8,0
15.0,241.0,7.0,3.75,14.0,8,8,0
1.0,21.0,1.0,5.0,4.0,2,7,14
25.0,699.0,40.0,3.75,1068.0,4,13,5
18.0,182.0,2.0,3.75,442.0,1,7,0
128.0,9811.0,1625.0,4.375,67615.0,2,9,1
9.0,103.0,1.0,3.75,88.0,2,7,0
0.0,159.0,1.0,0.0,6.0,4,12,14
19.0,271.0,8.0,5.0,71.0,5,8,0
30.0,439.0,15.0,3.125,912.0,3,8,12
13.0,175.0,6.0,4.375,258.0,3,7,0
42.0,539.0,27.0,4.375,762.0,6,18,12
27.0,312.0,14.0,3.75,624.0,1,3,12
9.0,156.0,2.0,3.75,81.0,1,4,0
16.0,367.0,3.0,3.75,416.0,8,20,0
15.0,157.0,2.0,4.375,73.0,1,9,0
34.0,635.0,8.0,4.375,286.0,8,21,0
7.0,93.0,2.0,4.375,115.0,3,9,0
50.0,656.0,38.0,4.375,153.0,3,12,12
56.0,1810.0,45.0,3.75,724.0,3,7,9
9.0,137.0,6.0,4.375,264.0,4,19,0
18.0,219.0,4.0,4.375,325.0,3,6,0
0.0,302.0,0.0,4.375,3.0,4,7,14
0.0,62.0,2.0,0.0,1451.0,2,8,11
42.0,858.0,21.0,3.75,980.0,10,14,8
0.0,21.0,1.0,4.375,457.0,1,6,0
35.0,348.0,1.0,4.375,1222.0,3,11,12
10.0,216.0,2.0,0.0,395.0,3,8,11
25.0,517.0,20.0,3.75,331.0,2,6,12
23.0,473.0,11.0,5.0,368.0,7,12,0
25.0,321.0,7.0,4.375,997.0,2,9,12
0.0,2.0,0.0,0.0,2377.0,2,7,11
9.0,218.0,4.0,4.375,301.0,6,6,0
7.0,181.0,4.0,4.375,271.0,2,8,0
22.0,282.0,11.0,4.375,474.0,4,15,12
0.0,262.0,1.0,5.0,12.0,3,8,14
20.0,425.0,9.0,4.375,660.0,3,16,0
